Model,title,rate,content
Apple iPhone XS,"iPhone XS review, PUBG GamePlay, Camera Samples and why it is not that costly",4.8,"The Apple iPhone XS and the XS Max is available in and here is the review of iPhone XS. In this review I have covered the handset performance, quality, played PUBG game, shared some camera samples and the battery performance. ,Apple iPhone XS is a really premium handset that comes with a really premium price tag, now many compare the iPhone with Android and everything comes down to the price. But if you think logically the iPhone is not that costly. A iPhone XS for example will not get outdated even after 2 years and the performance will be the same, but when it comes to Android smartphones, forget 2 years in every 6 month a new model or a new hardware is announced.,Having said that, iPhone are pricey but if you use it (and most iPhone users do) for over 2 years, in the long run it is not that costly, plus you do not feel like the handset is outdated – as a new iPhone is launched every year compared to a new Android phone being launched almost every month.,Apple makes its own hardware and its own software – the iOS. And they have really optimized the hardware and software, so well, that once you use an iPhone you will fall in love with its smooth performance. You do get smooth performance on Android too, but the difference is clearly noticeable (much, much better on Apple).,The iPhone XS is running iOS 12 out of the box. Screen quality is awesome and specially the 3D touch (can sense touch pressure) is pretty impressive. The typing experience on the iPhone XS was also a lot different much better, much smoother. One thing you will notice is that the iPhone responds instantly be it opening an app or saying Hey SIRI.,The handset feels premium to hold and use, really premium. Glass on the back does make it a bit slippery. I am comfortable with iPhone XS but if you need a bigger screen then there is the iPhone XS Max.,Screen is 5.8 inches, Super Retina HD display, OLED multi touch display with 2436 x 1125 pixels resolution and yes it does come with notch. Screen quality is really premium with 1,000,000:1 contrast ratio – viewable in any lighting condition.,The iPhone XS sides are stainless steel and weight is 177 grams. The new iPhone is IP68 certified that makes is splash, water and dust resistant.,Inside the hood there is Apple’s own A12 Bionic Chipset with next gen neural engine. This is hexa core CPU. On Android you can get octa core, but as mentioned Apple has full control on its hardware and software and when you use the handset you will know the difference.,Talking about Antutu score I got 301974.,I played PUBG game, in HDR / Ultra Graphics quality mode – really impressive. The game play was buttery smooth and best part is the instant response and the smoothness when taking aim. Indeed the best experience I had when playing PUBG.,Handset hardly heats up.,iOS 12 is more secure than the Android and if you have been a Android user it will be a little weird getting simple things done like transferring files, movies, music from PC to iPhone XS.,There is no finger print sensor but there is Face ID (face unlock) and it works great. When registering for Face ID it takes over 1 minutes or so, as it records every angle of your face.,This handset comes with a nano SIM slot and there is a eSIM. This eSIM is integrated SIM but for now it is not enabled in India, the company will roll out an update soon to enable iPhone XS eSIM for Indian users. Also note that for now only Reliance Jio and Airtel offers eSIM support.,On the rear there 12MP dual cameras a wide angle and a telephoto lens with f/1.8 and f/2.4 aperture respectively. You get 2x ZOOM. There is dual optical image stabilization and you can shoot smooth videos in 1080p resolution.,The iPhone XS can shoot 4K videos at 60fps with stereo sound recording. There is also time lapse video with stabilization, plus you can shoot slow motion in 1080p at 240 fps. You can check the samples in the video review.,Still shots are pretty impressive, really good edge detection and natural blurring (bokeh) effects. There are couple of lighting effects that you can select before or after the image is captured. The 7MP front camera can also capture perfect selfies with bokeh mode.,When you shoot in bokeh mode after the image is captured you can control the depth. Animoji and Memoji also supported.,Overall iPhone XS image quality is excellent. Low light shots are great but there are premium smartphones out there that can shoot better in low light., , , , , , , , , , , , , , ,The iPhone XS comes with 2658 mAh battery that may look too low if you are thinking from the Android perspective but, but, but, this battery capacity is more than enough. I easily got over a day of mixed usage.,The charger provided is normal charger but the iPhone XS supports fast charging and wireless charging. With normal charger provided in the box it takes about 2 hours 30 minutes to charge but with fast charger, charging is much faster about half the time.,I am getting an easy over a day of battery life better than when compared with my Galaxy S9 Plus.,iPhone is different, makes no sense comparing with the Android phones. Also in terms of price the iPhone looks really costly but as mentioned you will be using it for 2 to 3 years easily as the iPhone XS will not get outdated for another 2 to 3 years.,An excellent buy if you are looking for a completely different user experience and if you have the money to spend initially. You can either go with the iPhone XS or the XS Max.,You can buy the iPhone XS / XS Max from – "
GoPro Hero 7 Black,"GoPro Hero 7 Black review (in Hindi) – with built in HyperSmooth stabilization, better than a gimbal!",4.8,"Here is GoPro Hero 7 Black review, in this video I have done the GoPro Hero 7 Black unboxing, talked about the features and also shared some samples shot using the GoPro Hero 7 Black action camera. ,You can buy the GoPro Hero 7 Black from Amazon for Rs. 36,999 – ,Inside the box you will get the camera, user manual, mount accessories, USB to USB Type C cable and 1220 mAh removable, rechargeable battery. This GoPro Hero 7 can shoot in 4K resolution at 60 FPS that too with HyperSmooth stabilization.,The unique thing about the GoPro Hero 7 Black is the built in HyperSmooth Stabilization. Once you open the box pack and switch on the Hero 7 Black and some reason do not see the HyperSmooth stabilization for 4K videos then head on to firmware update – there is a update waiting.,This HyperSmooth stabilization is awesome, you really do not need a external gimbal, well the output is even better than when you use a gimbal. Add to it the timewrap feature that makes use of the built in stabilization is another awesome feature.,Do check the samples shot in the video review below, the HyperSmooth stabilization is just outstanding, amazing, awesome. Hard to believe you get this kind of a quality in this small package.,Apart from this there is another interesting feature the TimeWrap, this is really good to shoot scenery, moving shots in fast motion. Battery life is decent, gives about 45 to 60 minutes of non-stop usage on a full charge.,Still shots also come out great, but since this is a action camera it is made for video shoot, that too in outdoor conditions.,Do note there is GoPro Hero 7 Silver and GoPro Hero 7 White comes with normal stabilization not HyperSmooth stabilization and TimeWrap is only for now available on the Hero 7 Black., "
DT No. 1 F6 Smartwatch,"DT No. 1 F6 Smartwatch, sports watch, tough, waterproof, re-chargeable battery",4,"This is DT No. 1 F6 smartwatch, this actually looks like a sports watch, it is really tough and water proof. Unique thing about this watch is that it comes with rechargeable batteries. This watch can keep track of your fitness activities and sleep. ,1. NO.1 F6 Smartwatch – approx Rs. 2000 with priority line shipping – ,2. NO.1 F13 Smart Watch with color screen – approx under Rs. 2000 – ,Also CHECK exclusive brand SPECIAL – ,Comes with Pedometer and Heart Rate Monitor,
Can monitor distance, speed, time, steps, calorie consumption to reach your health target. Enjoy your sport at any time anywhere with all data. Understand physical condition. Adjust the exercise intensity to achieve the effect of exercise.,
You can get Notifications, mobile phone SMS, Facebook, Whatsapp messages on the watch at any time anywhere when you are not available to check the mobile phone.,
This watch can also monitor your sleep time and quality, and wake you up by vibration.,
Bluetooth 4, IP68 certified, 1 inch TF screen.,
350 mAh built in battery, takes 2 hours to charge and gives up to 3 to 4 months of usage time."
Realme 2 Pro,"Realme 2 Pro review – Unboxing, PUBG GamePlay, camera samples, battery price Rs. 13,990 onwards",4.5,"Realme launched the 2 Pro in India and here is the review of the Realme 2 Pro. This handset is powered by Snapdragon 660 AIE octa core processor and unique thing is the dewdrop full screen with 19.5:9 aspect ratio. ,Inside the box you will get the handset, user manual, warranty card, silicon case, travel charger 5V/2A, SIM ejector pin and data cable USB to micro USB. The handset that I used for the review is packed with 8GB RAM and 128GB ROM.,Realme 2 Pro will be available in Black Sea, Blue Ocean and ICE Lake color options. The Blue Ocean variant that I used looks cool. There is glass type finishing on the back that add a darker shade, if you have seen the , the finishing is the same.,Handset is comfortable to hold and use, curvy design and looks pretty premium and unique thanks to the dewdrop style screen – check video review.,Qualcomm Snapdragon 660 AIE octa core processor + Adreno 512 GPU,
3500 mAh battery,
4GB/64GB, 6GB/64GB and 8GB/128GB RAM / ROM options,
Triple slot with dual VoLTE support,
Handset weight 174 grams, thickness 8.5mm,
Color OS 5.2 based on Android 8.1,
6.3 inch dewdrop screen, 2340 x 1080 pixels resolution (FHD+), TFT LCD screen, 2.5D curved glass,
Rear Camera 16MP AI + depth sensing camera, SONY IMX 398,
Front Camera 16MP,
Dual Band Wi-Fi, GPS and Bluetooth,
Middle frame is made of transparent polycarbonate resin,
Accelerometer, light, proximity, gyro and magnetic sensors,The Snapdragon 660 AIE octa core processor game 133520 score on Antutu Benchmark. Heat build up is under control. The hardware is powerful and power efficient. I played PUBG game and the performance was pretty good, smooth.,The rear camera as well as the front camera can shoot in portrait mode, plus there are a lot of options, stickers, light effects – do check the video review for the samples, or you can also check the samples below.,Camera quality is excellent. Low light shots are pretty good in auto mode, but even much, much better in manual mode., , , , , ,  , , , , , , , , , , , , , , , , , , ,It took me about 2 hours for a full charge and on a full charge you will get one to one and a half days of battery life based on your usage pattern.,Realme 2 Pro is another perfect handset launched by the company. It performs in every category be it quality, performance, camera and battery. An excellent buy, not sure how the Ice Lake color variant will look but the Blue Ocean looks awesome.,4GB/64GB Rs. 13,990,6GB/64GB Rs. 15,990,8GB/128GB Rs. 17,990,First sale on 11th october on flipkart."
Amkette iGrip,"Amkette iGrip Magnetic Air Vent Car Mount best car mount for Rs. 1,099",5,"Here is Amkette iGrip Magnetic Air Vent Car Mount unboxing and review, in this video I have shown the content you will get inside the box, plus talked about the features and shown how you can use this product. ,You can buy this from Amazon – , for Rs. 1,099 and ,Comes with 6 Optimized magnets that are really powerful and keeps the smartphone attached,
Double Spring Clamp,Inside the box you get 2 circular and 2 rectangular metal plates and 2 circular film and 2 rectangular film,This is so far the best and easy to us car mount that I have used. All you need to do when you enter your car is place the phone on the mount and via magnetic effect the phone will attach to the magnets, it is easy to attach and remove.,Apart from that since the mount is placed on the AC vents the cool air from the AC also helps keep the handset cool, especially when you use heavy apps like the Google Maps that tend to heat up the smartphone.,Excellent buy, highly recommended!"
Redmi 6,"Redmi 6 Review – बढ़िया है, performance, PUBG, impressive dual camera and more (Rs. 7,999)",4.1,"Here is the review of Redmi 6, if you may recall Xiaomi had launched 3 handsets in the Redmi 6 series, I have done the Redmi 6A review, , review and now here is the Redmi 6 review. This handset price starts from Rs. 7,999. ,Inside the box you will get the handset, user manual warranty card, data cable (USB – Micro USB) and travel charger 5V/1A. Earphone and protective case is not included in the box packing.,Redmi 6 looks great for the price, it has that typical Redmi look. Curvy body, metallic finishing and handset feels good to hold and use.,5.45 inch screen with 18:9 aspect ratio, 1440 x 720 pixels, Sunlight display,
Weight 146 grams and thickness 8.3mm,
Dual VoLTE support,
Triple Slots, separate micro SD card slot,
Finger Print sensor, face unlock,
3GB/32GB or 3GB/64GB RAM/ROM options,
MediaTek Helio P22 Octa core powered, 12nm, 2GHz,
12MP + 5MP dual AI cameras on the back, 5MP camera on the front, can shoot FHD videos, slow motion – 480p at 120fps,
Wi-Fi, Bluetooth and GPS,
MIUI 9 based on Android Oreo, will get MIUI 10 soon,
Accelerometer, Light, Proximity and Magnetic sensor,
3000 mAh battery,The MediaTek Helio P22 Octa core chipset does a decent job. Antutu score is around 75,000. The hardware can play games like PUBG in low graphics quality mode. Hardware does not heat up much. For normal usage and for a bit of gaming the hardware is good enough.,There is face unlock and finger print sensor, both security features are fast and accurate.,There are dual cameras on the back and for the price of Rs. 7,999 (3GB/32GB) the rear camera quality in bokeh mode is pretty impressive, perfect bokeh and impressive edge detection. Front camera too does a really good job.,This handset can shoot FHD videos and slow motion, there is image stabilization too. Low light shots turn out okay, not that great or that bad. Overall the Redmi 6 camera quality is above average., , , , , , , , , , , ,The 3000 mAh battery takes about 2 hours 15 minutes or so for a full charge using 5V/1A charger and on a full charge you can expect about one to one and a half day of mixed usage based on your usage pattern.,The Redmi 6 is an affordable budget friendly smartphone that comes with 18:9 display and houses dual cameras on the rear that are not just for name sake but they are capable of capturing impressive shots. Overall for the price the Redmi 6 looks great, perfect to use as a backup phone or if you have a tight budget this one is a great option.,You can buy Redmi 6 from Flipkart – ,https://youtu.be/EaicJ0sjQac"
PUBG Trigger button,"PUBG Trigger Button, shooting controller for quick response, for just approx Rs. 250",4.5,"Here is a PUBG Trigger button that will help increase response time and gives you a unique feel and experience when playing the game. Apart from that with better controls and your finger always on the trigger your response time will be better and will help you win the game. ,From GearBest for approx Rs. 250, you can go with free shipping and there will be no custom duty on this.,Here is the link – ,Some more Trigger buttons – ,– Highly sensitive and responsive to help you quickly respond and easily win the game.,
– Very stable, clip design makes the mobile game controller easy to move.,
– Small and lightweight, you can carry it wherever you are and play anytime, anywhere.,
– The shooting controller is easy to operate, and the touch button is very sensitive and accurate.,1. Start your game and click on Settings – Control – Custom;,
2. Move the FIRE button to the top left corner;,
3. Move the AIM button to the upper right corner;,
4. Adjust the shooting and target buttons under the touchpad of the mobile game controller;,
5. Save your settings."
Redmi 6 Pro,"Redmi 6 Pro Review – Notch wala Redmi from Rs. 10,999",,"Xiaomi launched 3 handsets in the Redmi 6 series. This Redmi 6 Pro is the only handset to come with the Notch style display. This handset is Snapdragon 625 octa core powered and packed with a 4000 mAh battery. Read on to know the how the handset performed. ,Inside the box there is the handset, SIM tray ejector pin, silicon case, data cable and travel charger 5V/2A. The SAR value mentioned on the box is 0.964 head and 0.780 body.,The handset does come with a Notch display and that makes it interesting. Build and finishing is really good, feels premium. Though the handset is slim, it does feel heavy. The screen is with 19:9 aspect ratio but feels really small cause screen is 5.84 inches.,Those who love small phones cause that is comfortable for them to handle, they are going to love this phone.,– Snapdragon 625 octa core powered,
– 4000 mAh battery,
– triple SIM slot, you can use 2x nano + 1 micro SD all together,
– 4G, VoLTE works but only on one SIM, i.e. dual VoLTE is not supported.,
– IR Blaster, Wi-Fi, GPS, Bluetooth,
– Finger print sensor on back and face unlock – both decently fast,
– 5.84 inch screen with 2.5D curved glass, FHD+ resolution and 19:9 aspect ratio – you can hide the notch if need be,
– 12MP + 5MP dual AI cameras on the back,
– 5MP front camera,
– 4GB RAM / 64GB ROM,The hardware is Qualcomm Snapdragon 625 that gives a score of around 77K on Antutu Benchmark. The performance is good, decent, lag free but when it comes to games like PUBG you will need to play is low graphics quality mode. Do check the PUBG gameplay in the video review listed below.,Regarding Redme 6 Pro heating – the max battery temperature I encountered was 38 degrees, handset did heat up but temperature is well under control.,Finger print sensor / face unlock is decently fast and accurate. Only one SIM slot supports 4G VoLTE so you cannot use 2 JIO SIM on this handset, dual VoLTE is not supported. I did not find any issues with network, call quality, the speaker is loud and clear.,There is 4000 mAh battery and it took me up to 3 hours for a full charge. On a full charge you can get one and a half days to two days of mixed battery life based on your usage.,There is 12MP + 5MP dual cameras on the back and that did an impressive job outdoor, however when it comes to indoor / low lighting conditions the camera quality is not that impressive. Redmi 6 Pro camera quality is above average.,Front 5MP selfie turned out great. Do check the samples below. This handset can shoot FHD videos and slow motion videos, you can check the video sample in the Redmi 6 Pro review video listed below. Also both the Front as well as the rear camera supported portrait mode., , , , , , , , , , , , , , , , ,The Redmi 6 Pro is a good handset, a decent one with above average performance and above average camera quality. Battery life is pretty impressive thanks to the combination of Snapdragon 625 with 4000 mAh battery.,Redmi 6A 2GB/16GB – Rs. 5,999 (intro price) 2GB/32GB Rs. 6,999 (first 2 months sale on 19th September  12 noon on Amazon / mi.com,
Redmi 6 3GB/32GB Rs. 7,999 and 3GB/64GB Rs. 9,499 sale on 10th September 12 noon on Flipkart and mi.com,
Redmi 6 Pro  3GB/32GB Rs. 10,999 and for 4GB/64GB price is Rs. 12,999."
Vivo V11 Pro,"Vivo V11 Pro review – Beautiful Phone, Awesome camera",,"The Vivo V11 Pro has been launched, this handset comes with dual cameras on the back that does an amazing job. The V11 Pro features a Super AMOLED Halo Full  view display. This handset comes with 6GB RAM and 64GB ROM and price in India is Rs. 25,999. ,You can check the video listed below for the Vivo V11 Pro unboxing, yes inside the box there is silicon case for added protection, premium quality earphone and fast charger 9V/2A apart from the usual stuffs (handset, USB to micro USB cable, user manual, SIM ejector pin).,– 6.41 inch Super AMOLED screen with FHD+ resolution, 2.5D curved glass, 19.5:9 aspect ratio,
– Funtouch OS based on Android Oreo,
– 6GB RAM / 64GB storage, plus micro SD card support,
– in display finger print sensor 4th Generation, Face unlock with Infrared Light that works in the dark,
– Qualcomm Snapdragon 660 AIE processor,
– 12MP + 5MP dual pixel camera on the rear, 2PD Technology,
– 25MP front selfie camera,
– Triple slot – you can use 2x nano SIM and a micro SD card all together,
– 1080p video recording,
– dual band Wi-Fi, GPS, BT 5.0, noise cancellation, FM radio and OTG support,
– Dual VoLTE supported,
– 3400 mAh battery, Dual-Engine Fast Charging supported,The build and finishing is too good, handset looks a lot different though the body is plastic the back looks really different / unique and eye catchy, specially the starry night color variant. Do check the video to know more. Handset is light weight, and comfortable to hold and use.,The Super AMOLED screen is vibrant, but the unique thing is the waterdrop display notch that looks a lot different and gives a new look to handset, plus offers more screen usage space to the user.,This is Snapdragon 660 AIE octa core powered, powerful enough, can play PUBG game (check Vivo V11 Pro video review listed below). Handset hardly heats up and processor is power efficient.,I did not find any issue with networks, sound is loud and clear. The finger print sensor is very fast almost instant and add to it the face unlock is equally  impressive. The in-display finger print technology is 4th gen and much improved with better detection and accuracy, plus you can use both finger print and face unlock together, whichever detects first.,On the rear there is a 12 MP + 5 MP dual cameras with 2 PD Technology AI Backlight HDR, front camera is a 25MP shooter. Both the rear and front camera performance is excellent thanks to dual pixel technology check the samples below. Both front as well as rear cameras can shoot in portrait mode (bokeh).,The V11 Pro camera works great in any lighting conditions, plus there are a lot of interesting features, check video review. This handset can shoot FHD videos and slow motion videos you can find the sample shots in the V11 Pro video review., , , , , , , , , , , , , , , , , , , , , , , , ,The 3400 mAh battery supports Vivo Dual-Engine Fast Charging, that charges the battery at rapid speeds. There are two charging chips – this tech can charge battery much faster and is pretty safe.,It took me 1 hour 30 minutes for a full charge and on a full charge you can get up to 1 day of mixed usage, even more based on your usage pattern.,The handset is beautiful, it’s powerful and camera quality is pretty impressive. Vivo V11 Pro Price in India is Rs. 25,999. The price looks really good considering the unique looks and the impressive camera quality.,Buy Vivo V11 Pro online from Vivo Official E-store:  ,Flat INR 2,000 cashback on HDFC bank Credit and Debit cards,
Flat 5% cashback with Capital First,
Flat INR 2,000 cashback if purchased from PayTM Mall,
Additional upto INR 2,000 off on exchange,
One Time Screen Replacement in case of screen damage during first 6 months,
No Cost EMI (Upto 12 Months on Credit Cards, Debit Cards and Bajaj Finance cards),
Buyback Guarantee (Post 6 to 8 months of usage),
Benefits worth INR 4,050 from Reliance Jio,
Complimentary liquid and physical damage insurance along with additional data for Vodafone-Idea customer,Buy Vivo V11 Pro online from Vivo Official E-store:  "
RealMe 2,"RealMe 2 Review – Retail Unit 3GB, 32GB Red variant, impressive!",,"Here is the RealMe 2 review, this handset comes with an attractive price tag of Rs. 8,990 and is powered by Snapdragon 450 processor. Now this hardware is not as powerful as the RealMe 1 was but, is it still worth the price? lets find out. ,Many of my followers were asking for the RealMe 2 review, unfortunately like with the case of RealMe 1, I had to buy the handset from the first sale ( I did not get the review unit). The RealMe 2 first sale was on 4th September, and took some days for the delivery. Well here is the RealMe 2 review.,I bought the RealMe 2 Red color variant, I was deeply impressed by the RealMe 1 Red hence a logical choice. Inside the box you will get the handset, SIM ejector pin, user manual, warranty info, data cable USB to micro USB, silicon case and travel charger 5V/2A. SAR value of RealMe 2 as mentioned on the box is 0.305 head and 0.720 body.,At first when I saw the specifications (with Snapdragon 450 processor) I was really not impressed but the price was still good. Reason being all Snapdragon 450  powered handset that I had reviewed did not support dual VoLTE, surprisingly on the RealMe 2 dual VoLTE worked!,This is the key attraction. You will fall in love with the design on the first look. The Red is as beautiful as it looked on the , same build and finishing and the glass on the back that creates a darker Red shade. The RealMe 2 I can say look way better than the RealMe 1, well same color / looks but on the back there is diamond cutting reflection that looks awesome, check the video review / images to get an idea.,Looks great, feels comfortable to hold and operate. You get a bigger screen area to work thanks to the Notch above. But that’s not it. Once you switch on the handset the UI specially the default wallpaper on this Red RealMe 2 is pretty impressive, it follows the same Red color pattern part of the screen (on the top) is red, looks really cool and blends well with the overall design and color.,– Qualcomm Snapdragon 450 Octa Core 1.8 GHz,
– 3GB/4GB, 32GB/64GB and 256GB micro SD card support Triple Slot ( Dual 4G Sims + Dedicated Memory),
– 4230 mAh Li-ion Battery,
– 6.2 inch HD+ Display, with Notch,
– 13MP + 2MP Dual Rear Camera | 8MP Front Camera,
– Finger Print and Face Unlock,
– Single band Wi-Fi, GPS, Bluetooth, FM radio,For normal use the handset is really good. However if you are a heavy gamer then you might not like this handset, it is powerful but not really for gaming, though you can play high end games in lower graphics quality.,The Snapdragon 450 is well known however it is not as powerful as the ,. However with SD 450 and with 4230 mAh battery you will get an impressive battery life. It is all about balanced performance.,Handset heat up is under control. The finger print sensor is really fast almost instant and so is the face unlock. Check the video review to know more about it.,The 4230 mAh battery will take about 3 hours or so for a full charge and on a full charge you will get one and a half to two days of battery life based on your usage.,There are triple slots, so you get a dedicated micro SD slot. Dual VoLTE works that came as a surprise to me, but it really works, check the video review for demo.,No issues with networks, call quality is pretty good and even the speaker is loud and clear.,There is 13+2 MP dual cameras on the back and a 8MP camera on the front. Camera quality is above average. The camera specially the rear does capture natural bokeh shots in outdoor conditions, normal mode also works great outdoors. However in low light conditions the camera quality is not at all impressive – check video review or go though the sample images listed below.,The handset can shoot FHD videos. Front camera can also shoot in Portrait mode, but edge detection is not that perfect, however works great most of the time., , , , , , , , , , , , , , , ,Though the RealMe 2 hardware is downgraded compared with the RealMe 1, the handset is still worth buying. Though RealMe 1 users might want to stick with the 1 unless they love the notch. So overall the RealMe 2 Notch smartphone is an excellent buy for Rs. 8,990.,You can buy the handset from Flipkart (wait for next sale) – "
Poco F1,Poco F1 review – Premiumly Awesomely Awesome,,"A new brand has entered the Indian markets, it is called POCO and it is a Xiaomi brand. The new brand launched their first smartphone in India called the Poco F1. This is Snapdragon 845 octa core powered and price starts from Rs. 20,999.,First of all why a new brand, I guess when users look at the Xiaomi brand they are looking for quality product at cheaper price. So probably the Poco brand was created to cater to Mid Premium segment, for those looking for a better, powerful and latest hardware and are ready to spend. Also since Poco is backed by Xiaomi users will be comfortable with this new brand.,There is a market in the mid premium segment, but not as much as in the budget segment, another reason for creating the Poco brand is to have a separate sales figure not affecting the Xiaomi sales that does really good for under Rs. 20K.,Poco F1 unboxing – do check the video review where I have done the unboxing of this product. I got the Poco F1 Armored Edition. Inside the box you will get the handset, SIM ejector pin, user manual, warranty card, data cable (USB to USB Type C) and travel charger 12V/1.65A. SAR Value as mentioned on the box is 0.719 head and 0.746 body. This product is Made in India.,The unit that I got is Armored Edition made of Kevlar material, it is really tough and made so as to avoid users from using a case for protection. Build and finishing is awesome and handset feels really good to hold and operate. The other Poco F1 variant is policarbonate body.,Poco F1 is Qualcomm Snapdragon 845 octa core powered and also using Liquid Cooling Technology to enhance overall performance in the long run. You can say this is specially made for gaming users in mind.,MIUI 9 runs out of the box based on Oreo, there is Poco Launcher and some interesting stuffs like ability to use mobile data during VoLTE calls on the secondary SIM. The 845 chipset supports dual VoLTE. This F1 comes with Hybrid dual SIM slots.,There is LED notification, OTG is supported and the Poco F1 is loaded with all the important sensors that you will get in a premium smartphone. The Unit that I got is special edition it comes with 8GB RAM and 256GB ROM.,Screen is 6.18 inches supporting FHD+ resolution and it does come with a notch. Screen aspect ratio is 18.7:9. Screen is Corning Gorilla protected.,The moment I opened the box and started using the handset, I just fell in love with it. The overall performance was buttery smooth. I got Antutu score of 265593. PUBG game played really well, buttery smooth and heat up was under control.,The Liquid Cooling system will help keep the performance at an optimal level, so you will hardly get any lags and also helps control the heat buildup. In simple words you can continue playing the PUGB game for a much longer period of time.,Overall the Poco F1 is power packed however there is no NFC.,Coming to the camera on the rear there is 12MP + 5MP dual cameras and on the front there is a 20MP camera. Camera quality is excellent, do check the camera samples below. Bokeh looks perfect and so is the edge detection. Camera some with AI features that help get perfect shots in any lighting conditions. F1 can shoot 4K videos. If you need Video Stabilization then shoot in 1080p resolution or below. You can also shoot Slow motion videos at 240 fps., , , , , , , , , , , , , , , , , ,The finger print sensor and the face unlock work almost instantly. The best part is the face unlock works in dark conditions too.,Coming to the battery the Poco F1 houses a 4000 mAh non-removable battery with fast charge QC 3.0 support. It took me about 1 hour 45 minutes for a full charge and battery life – you can expect one day of heavy usage and one and a half day of mixed usage with ease.,If you are a gaming user you will love the F1 and if you are not a gaming user you still should buy this handset, if it fits your budget.,Poco F1 is for now the cheapest and the best Snapdragon 845 powered handset available in India.,Poco F1 price in India starts from Rs. 20,999.,Poco F1 8GB / 256GB price is Rs. 29,999 Armored edition,
Poco F1 6GB / 64 GB Rs. 20,999,
6GB / 128GB Rs. 23,999,
8GB / 256GB Rs. 28,999."
ZAAP Aqua Xtreme,ZAAP Aqua Xtreme review – All weather Bluetooth Headphone,,"Here is another Bluetooth headphone from ZAAP, this one is called Aqua Xtreme, its all weather series. This headphone is IPX7 certified, price in India is around Rs. 2,500. Do check the review to know more about this product. ,Inside the box you will get a carry case, user manual, warranty card, product catalog and some extra ear bud caps. The headphone design is a lot different, specially made to fit securely for GYM, sports activities.,There is a ear support that keep the big ear bud in place, once you fit it on your ear it will not fall off that easily, build is really good, body made of plastic. All the controls are on the right ear bud, there is volume button / media change button and power on/off button.,The , Xtreme comes with built in mic (,) , so you can receive calls on this headphone. This headphone makes use of Bluetooth 4.1, houses a 90 mAh battery and takes about less than 2.3 hours for a full charge.,On a full charge you will get about 9 hours of usage time, standby time is 250 hours. You can use this with Android, Windows and Apple smartphones. Sound quality is pretty good, bass rich, medium and treble sound pretty good too.,ZAAP Aqua Xtreme price in India is Rs. approx 2,500 – "
Mi A2,Mi A2 review – the perfect Android One Powered Smartphone with impressive camera,,"The Mi A2 is an Android Powered Smartphone, featuring a 5.99 inch screen with 18:9 aspect ratio. Though the handset does not come with a notch on the top it is still a really good option considering the overall performance and specially the camera quality that is pretty impressive. , you will get the handset, SIM tray ejector pin, USB Type C to audio jack cable, user manual, silicon case, USB to USB Type C and travel charger 5V/2A. Mi A2 will be available in Gold, Black and Rose Gold color options.,This is an Android One powered smartphone, running Android 8.1.0. There are two variants with 4GB/64GB and with 6GB/128GB. This handset comes with dual SIM slots, there is no micro SD card slot.,Inside the hood the Mi A2 is powered by Qualcomm Snapdragon 660 AIR processor, this is flagship level processor with AI engine, I got antutu score of 1,30,367. Games played well, I tried PUBG game, do check the Mi A2 review video to see the action.,Handset hardly heated up and the battery life is also pretty decent. The Mi A2 comes with 3010 mAh non-removable battery and on a full charge you will get about 1 days of mixed usage, even more based on your usage.,Mi A2 is packed inside a full metal body and as for the display it’s a 5.99 inch large screen with 2160 x 1080 (FHD+) resolution with 2.5D curved glass. Color reproduction is pretty good. Handset is just 7.3mm thick and weight with built in battery is 168 grams. Mi A2 supports dual VoLTE which means you can use 2x Jio SIM together.,A2 comes with finger print sensor on the back and also supports face unlock. Both finger print sensor and face unlock work pretty fast. This handset is packed with all important sensors. Do note there is no Audio Jack, you will need to use the USB Type C port for audio, the USB Type C to 3.5mm adapter is included in the box.,Now let us move on to the camera. On the rear there is 20MP + 12MP camera. Rear Camera: 12MP, SONY IMX486; 1.25μm pixels, large f/1.75 aperture, PDAF. Rear Camera: 20MP, SONY IMX376; 4-in-1 pixel binning technique, 2.0μm pixels, f/1.75 large aperture, PDAF. Front camera is 20MP SONY IMX376; 4-in-1 Super Pixel based on pixel binning, 2.0μm pixels; large f/2.2 aperture.,Camera quality is awesome (camera rating 4.5 out of 5), and it captures really good pro style photos in any lighting conditions. Do check the samples below., , , , , , , , , , , ,Mi A2 is a really good and probably the best Android One powered smartphone out there for now. It is packed with powerful hardware and really impressive camera both front as well as rear. Would have expected the battery mAh to be at least 4000 but the 3010 does a decent job.,And excellent buy if you love the , series, the handset will get regular updates and will be among the first to get the Android P update. Buy the Mi A2 for its camera, period. Pricing is also pretty good starting from Rs. 16,999.,You can buy the Mi A2 from Amazon – "
